Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Adrian,107,56,33,51,32,63,47,56,34,61,60
Alan,104,89,86,82,86,90,72,78,79,79,82
Allison,126,73,78,83,69,76,75,69,67,77,66
Amelia,106,73,67,64,56,70,74,43,49,52,54
Angelina,114,37,62,40,30,54,54,54,35,48,46
Antonio,121,90,90,75,73,82,81,73,90,88,80
Arianna,108,85,80,72,77,75,71,85,83,82,86
Bailey,147,96,82,85,91,99,100,91,99,88,87
Caitlyn,111,82,62,70,75,72,71,61,80,73,61
Christian,131,73,62,84,78,71,71,64,83,71,77
Christopher,148,58,49,65,63,70,35,32,43,46,66
Courtney,149,87,99,83,86,90,98,85,87,97,82
David,115,75,75,88,78,89,87,88,70,77,90
Erick,102,80,88,89,88,86,90,76,87,74,81
Ethan,101,62,46,54,70,62,61,42,36,58,63
Genesis,129,94,82,80,96,83,84,82,86,96,93
Giovanni,124,72,70,74,78,65,71,62,61,63,75
Giselle,122,83,76,74,75,75,72,60,85,82,77
Grace,132,67,72,76,63,83,81,83,73,81,74
Hailey,116,63,77,85,73,61,61,79,66,82,65
Hayden,123,69,81,62,79,74,62,70,79,63,84
Hunter,150,78,61,78,68,81,66,65,62,69,81
Isabella,125,76,78,85,89,70,75,88,87,80,84
Jacob,145,62,68,83,81,71,72,80,77,76,71
Jada,146,84,63,69,84,60,78,83,61,67,63
Jason,119,90,90,82,79,89,89,84,80,81,79
Jeremy,105,83,88,94,95,98,99,91,90,96,86
Jessica,138,82,62,67,82,76,81,82,66,65,79
Joel,142,61,69,65,69,61,67,80,81,72,73
Jose,144,72,79,87,84,87,84,76,90,79,83
Katelyn,127,83,82,82,100,82,89,94,92,81,87
Liam,112,89,79,71,89,84,78,77,73,89,90
Lydia,118,72,87,89,81,76,76,70,71,90,74
Mason,134,76,77,83,85,90,83,71,71,84,89
Melissa,137,73,85,70,83,88,72,90,79,73,71
Micah,120,77,79,77,86,89,83,82,90,76,90
Michael,109,80,70,82,80,88,89,84,86,90,90
Nicolas,110,80,80,83,89,73,82,81,72,86,72
Parker,133,75,84,88,70,84,73,83,85,79,79
Riley,103,75,78,73,80,73,75,80,81,82,80
Robert,136,84,67,73,82,64,79,62,73,80,77
Rylee,140,71,80,68,63,60,80,69,71,71,85
Sarah,128,65,63,80,73,64,72,85,81,65,68
Sergio,117,71,75,84,89,89,70,77,78,89,70
Shelby,130,71,84,77,87,89,74,76,79,78,87
Sophie,113,79,84,84,68,61,67,80,81,77,63
Stephanie,141,77,70,71,72,71,75,71,74,82,70
Valerie,143,84,69,84,77,60,76,74,80,79,66
Wyatt,139,76,60,71,69,69,80,72,65,67,61
Zoe,135,64,70,72,80,72,81,63,81,77,65
