Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Abby,260,84,79,60,71,66,72,72,84,74,61
Alyssa,282,79,65,68,81,80,77,63,79,69,66
Ayden,287,90,90,82,73,78,70,73,70,72,86
Benjamin,298,83,99,93,89,86,85,94,82,97,90
Bianca,285,80,77,87,89,86,72,74,90,82,78
Brandon,297,88,83,90,78,90,89,70,70,88,83
Caleb,275,76,66,79,82,76,70,82,82,66,82
Carlos,293,73,70,84,87,87,77,80,81,71,90
Chelsea,252,82,61,79,63,83,85,85,81,75,61
Cheyenne,280,54,68,33,57,50,50,64,43,39,33
Colby,264,70,65,70,67,82,68,70,69,70,69
Devon,267,79,74,88,89,75,83,76,77,73,90
Diana,300,79,83,85,75,81,82,76,71,75,73
Edwin,290,90,84,77,71,89,89,87,78,75,87
Eric,265,77,61,81,85,81,76,84,77,65,69
Francisco,284,63,61,78,62,76,84,61,73,82,78
Gianna,274,90,79,85,84,81,76,81,85,76,71
Gracie,258,34,75,68,52,71,65,59,65,31,48
Grant,263,61,63,61,67,76,71,75,80,78,63
Jalen,254,77,83,69,60,85,85,71,65,67,64
Jayden,299,70,79,84,86,84,75,79,81,82,78
Jazmin,294,86,75,89,88,76,73,88,77,73,86
Jeremiah,257,86,88,85,84,90,85,83,85,73,82
Jillian,268,60,75,61,75,71,80,63,64,73,64
Johnathan,295,80,67,85,76,61,67,74,72,64,72
Jordan,281,88,74,89,74,79,89,73,79,78,80
Jordyn,289,56,39,69,71,63,67,32,46,68,31
Joseph,255,79,87,82,87,72,71,84,81,86,75
Katherine,272,72,81,72,73,74,75,81,79,64,61
Leonardo,270,64,85,61,83,72,77,70,72,65,75
Liliana,283,85,84,65,81,61,84,68,78,78,71
Logan,256,85,87,74,81,79,86,88,85,78,72
Marcus,292,75,88,76,81,75,76,87,85,85,83
Matthew,273,86,98,93,98,80,99,90,81,85,90
Max,271,77,74,73,64,66,68,72,73,79,74
Molly,269,47,61,68,64,46,41,60,35,46,52
Morgan,277,78,76,76,73,77,80,74,60,77,71
Natalie,288,76,72,70,81,90,86,84,81,73,80
Nathan,279,90,93,86,81,84,90,100,97,81,96
Nicole,251,87,70,83,84,76,70,77,90,89,71
Richard,259,93,84,89,95,91,97,83,93,83,80
Sara,276,91,80,82,90,89,97,88,86,80,80
Shane,266,71,85,62,84,65,85,62,69,84,66
Shawn,291,72,85,73,83,79,75,88,76,71,87
Spencer,286,35,68,41,53,67,62,72,54,59,67
Travis,278,74,71,75,84,72,75,76,84,75,89
Trevor,261,78,60,60,65,74,80,74,82,73,80
Vincent,253,77,86,87,72,70,76,87,89,72,80
Wesley,296,84,61,80,75,63,66,62,73,81,62
Xavier,262,63,62,68,60,76,68,79,76,72,60
