Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Aaliyah,21,88,87,85,100,80,83,81,92,84,89
Adriana,5,82,88,76,81,87,84,85,88,75,78
Aidan,8,90,87,79,75,85,77,80,88,85,88
Aiden,35,78,83,79,76,78,84,80,88,82,87
Andres,23,83,87,76,90,88,84,76,77,88,80
Angel,33,76,75,75,81,87,79,79,75,85,88
Angelica,2,64,78,74,85,69,67,69,67,76,78
Aubrey,10,76,73,80,62,74,82,83,71,63,76
Autumn,31,58,73,63,64,70,58,58,63,65,67
Brayden,44,62,70,79,83,78,81,67,63,65,68
Breanna,48,87,86,79,81,77,90,87,90,82,89
Brian,9,83,80,84,80,88,86,82,88,76,77
Bryson,3,68,67,66,60,79,69,71,79,81,72
Carter,7,79,82,80,67,73,72,69,84,75,74
Cassidy,39,92,90,86,88,88,96,88,80,93,93
Chloe,26,85,78,86,90,80,86,83,86,82,79
Cody,42,67,82,85,85,66,75,71,63,60,84
Dalton,36,67,70,79,68,63,73,65,63,78,77
Damian,34,62,60,62,51,69,71,54,62,74,71
Daniel,17,82,84,75,84,85,78,87,80,90,84
Devin,38,80,80,78,85,79,89,85,80,90,86
Diego,49,74,79,84,71,77,69,64,60,83,68
Ellie,15,65,73,84,71,81,64,62,66,60,72
Emma,41,82,64,77,72,80,74,80,82,82,61
Evan,46,68,73,77,73,78,79,85,65,80,62
George,20,90,84,84,85,78,85,80,75,88,81
Henry,43,73,65,76,65,81,67,62,76,66,72
Jade,22,81,78,75,86,79,86,86,79,77,79
Jeffrey,12,63,82,69,79,73,79,80,81,60,62
Jenna,24,88,99,81,93,93,90,80,88,98,95
Jennifer,18,77,69,69,78,62,79,60,73,85,81
Jocelyn,37,77,84,83,88,88,90,84,81,80,89
Juliana,29,95,100,84,84,94,90,86,80,99,91
Katie,1,64,76,71,71,76,68,76,74,64,78
Leslie,4,75,80,71,80,74,77,75,66,71,68
Luke,45,72,73,70,84,74,79,80,78,74,61
Mark,16,83,78,71,69,80,76,80,74,76,78
Mia,40,84,84,89,78,82,85,88,77,78,79
Michelle,14,81,88,75,83,89,88,89,89,76,75
Miguel,19,81,86,89,78,79,80,77,75,89,75
Nevaeh,13,82,81,78,79,86,90,86,86,83,84
Oliver,47,73,66,61,84,77,66,61,80,66,82
Payton,50,53,56,57,61,65,59,65,58,70,68
Preston,6,90,85,79,83,85,80,81,86,76,76
Rachel,11,54,59,53,75,58,75,50,75,67,72
Reagan,27,65,81,74,79,65,74,85,66,78,62
Sean,30,58,52,71,69,72,59,50,69,70,56
Thomas,32,88,82,91,83,94,84,95,91,90,80
Tristan,28,75,84,78,86,88,87,77,78,83,88
Vanessa,25,88,82,77,87,86,85,76,80,75,75
