Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Abraham,57,76,78,72,71,88,84,71,78,70,76
Alex,72,90,79,76,86,74,84,76,71,74,84
Alexis,53,79,72,64,74,63,77,79,64,71,63
Alicia,83,86,90,78,77,76,70,71,89,85,78
Alondra,96,86,78,80,82,90,84,77,85,81,73
Amanda,86,61,73,62,60,66,66,64,61,79,73
Amy,70,83,70,72,78,85,88,87,70,88,75
Angela,65,88,79,79,76,85,80,88,77,71,73
Ariana,64,79,71,83,64,83,75,81,63,67,60
Audrey,61,81,69,85,78,61,60,61,80,68,80
Briana,74,86,79,70,85,72,72,81,73,72,71
Brody,81,82,95,85,95,96,84,82,87,86,82
Camila,99,80,98,96,86,82,85,95,98,94,97
Charlotte,77,80,89,74,72,73,89,77,77,75,82
Cristian,59,87,80,83,77,75,85,89,90,87,70
Dakota,82,85,89,82,85,89,97,91,80,86,88
Edgar,98,79,81,90,86,80,83,81,76,79,77
Eduardo,52,82,73,68,60,71,67,71,77,60,82
Edward,54,73,88,86,86,77,81,84,90,77,87
Emily,100,63,66,75,75,78,79,64,78,61,63
Gabriel,56,83,84,61,84,77,73,64,80,85,83
Gabriela,88,78,71,89,81,82,89,90,76,89,83
Gabrielle,58,77,60,69,72,74,65,68,75,81,64
Isaiah,69,61,75,63,74,84,68,61,65,78,62
Jayla,63,36,64,38,32,74,49,41,49,55,48
Josiah,80,92,83,82,86,81,90,89,98,96,85
Juan,79,76,78,64,81,63,76,70,66,83,82
Julia,97,54,50,46,40,49,68,68,54,56,34
Karen,90,79,78,74,73,88,81,86,76,78,76
Kelly,78,83,78,77,86,81,78,70,84,88,77
Kennedy,71,73,85,72,76,77,82,72,88,71,84
Kevin,67,67,85,77,82,60,75,67,81,75,76
Kimberly,92,65,73,60,70,64,62,70,64,78,72
Kyle,68,85,90,73,85,70,87,79,72,80,85
Lauren,76,68,82,67,75,78,65,72,69,80,70
Lindsey,94,74,68,75,82,77,76,84,65,65,67
Madeline,66,66,46,63,75,41,59,53,35,58,34
Madison,51,82,80,72,73,89,85,77,71,71,73
Marco,55,50,42,52,56,36,49,46,53,30,75
Mariah,89,76,67,69,80,67,69,63,68,76,77
Martin,62,79,72,65,84,68,78,71,66,81,66
Mary,73,89,81,93,82,80,100,88,100,92,100
Maya,95,71,58,32,34,72,55,69,73,51,53
Nathaniel,93,87,71,75,73,73,76,76,74,86,74
Peyton,75,72,81,61,78,83,63,76,85,77,60
Ruby,60,85,87,82,77,80,79,70,77,71,73
Savannah,91,74,60,84,64,64,68,62,60,74,84
Sophia,84,90,84,83,79,74,84,86,83,82,84
Steven,85,76,79,74,79,83,73,67,84,76,79
Trinity,87,63,63,62,76,68,77,68,72,80,74
