Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Aaron,169,93,98,80,81,97,87,94,80,95,81
Abigail,176,75,89,77,82,83,89,75,80,89,82
Adam,166,68,64,83,68,85,66,60,81,60,85
Addison,158,76,72,70,83,85,68,62,81,77,80
Andrea,198,67,75,65,78,84,81,69,66,69,76
Andrew,177,50,73,75,70,68,68,50,55,64,55
Ashley,155,89,79,89,87,79,78,81,82,86,77
Braden,152,73,71,85,63,76,67,71,85,69,80
Brittany,188,86,79,80,86,75,81,81,76,84,76
Cameron,193,79,70,63,63,77,70,65,61,71,84
Carson,171,88,81,75,79,86,81,78,82,81,81
Cassandra,182,80,68,73,71,65,66,60,66,66,85
Christina,178,75,66,78,82,72,79,76,82,64,68
Colton,175,67,76,64,70,80,64,70,67,71,80
Destiny,190,66,71,58,60,51,60,50,65,59,70
Dominic,161,94,94,85,87,91,85,87,91,90,86
Elizabeth,184,90,88,84,90,82,84,89,80,82,80
Erik,163,68,66,60,72,70,77,76,78,68,79
Erin,194,85,84,80,87,86,78,76,83,75,89
Evelyn,180,80,79,87,89,80,75,83,75,75,80
Isaac,181,87,86,82,84,88,77,88,76,86,78
Jack,199,85,64,70,72,80,73,82,64,79,78
James,164,82,76,75,77,75,86,85,90,80,81
Jasmin,185,65,65,61,69,63,68,64,79,68,75
Jesse,186,81,89,88,88,90,84,85,77,77,84
Jonah,157,74,72,74,51,68,67,50,52,61,66
Julian,187,82,71,80,79,62,80,83,69,81,66
Karina,159,53,56,63,60,51,60,64,70,58,51
Kate,167,78,77,89,75,82,89,84,84,83,83
Kaylee,196,79,81,88,83,86,88,89,86,87,90
Kelsey,162,81,85,89,86,77,76,88,85,87,81
Kiara,174,100,98,88,97,81,84,93,98,100,91
Lillian,173,84,86,78,88,79,78,83,78,77,83
Lilly,165,87,86,84,89,88,90,79,78,89,87
Luis,151,80,85,86,94,99,92,99,98,89,83
Mckenzie,170,88,89,75,76,77,80,79,80,77,85
Miranda,195,84,82,81,89,84,85,79,90,79,79
Mya,168,85,62,64,79,68,66,69,75,73,75
Omar,191,87,77,86,78,83,84,87,83,77,82
Ryan,200,67,66,82,84,79,67,63,68,82,84
Sabrina,197,79,78,82,85,78,67,81,75,80,72
Samuel,179,79,63,65,61,73,63,73,73,72,69
Sebastian,154,68,55,56,73,62,73,61,68,61,55
Sierra,183,65,85,77,81,78,79,60,69,79,63
Sofia,156,92,94,80,84,97,84,83,99,92,83
Timothy,160,63,84,63,65,84,69,80,83,75,76
Trenton,153,60,78,83,75,66,65,85,73,79,70
Tyler,192,67,85,65,83,69,70,68,76,75,63
Valeria,189,88,87,77,85,81,84,86,89,84,77
Veronica,172,84,89,78,81,85,76,78,75,85,80
