Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Adrianna,233,80,81,79,82,85,83,80,86,76,88
Alexander,214,74,84,76,78,63,79,66,69,69,66
Alexandra,202,77,77,75,90,84,87,89,75,86,76
Alexandria,230,59,55,67,63,66,73,67,73,58,55
Alexis,244,77,86,78,84,79,88,78,76,81,86
Angel,211,77,90,75,75,87,82,89,87,88,89
Anthony,248,71,76,70,78,73,61,84,61,84,73
Ashton,249,85,76,86,89,75,89,78,75,82,80
Austin,213,86,85,84,82,77,76,81,88,89,86
Brooklyn,215,81,79,80,90,80,83,87,86,86,85
Bryan,203,85,82,76,75,78,90,75,79,75,79
Bryce,232,64,80,80,64,67,61,74,62,61,81
Caden,225,64,71,72,68,77,68,69,64,60,74
Conner,229,80,89,88,83,81,89,78,79,90,86
Connor,224,88,89,76,88,85,87,89,86,85,87
Crystal,207,96,97,89,96,94,86,100,93,80,96
Daniela,212,81,65,62,81,70,70,75,77,71,61
Donovan,242,77,63,78,67,71,63,65,65,60,82
Dylan,237,71,62,61,83,76,85,61,83,79,81
Erica,231,78,78,75,80,67,84,67,70,76,63
Fernando,238,73,83,67,83,61,81,85,65,63,82
Haley,216,81,83,69,85,79,76,79,70,72,69
Isabel,218,64,79,71,63,84,64,64,69,68,68
Jackson,223,73,81,78,78,62,64,74,75,69,68
Jake,217,75,74,78,66,82,75,62,65,68,81
Javier,222,64,59,72,69,61,51,73,72,55,68
Justin,204,75,87,86,86,87,90,90,85,82,80
Kaleb,236,67,78,82,65,69,69,72,74,78,71
Kayla,240,64,69,71,85,83,75,84,64,60,66
Kendall,219,83,82,88,80,79,77,82,90,80,88
Kenneth,209,82,60,79,77,61,60,67,68,60,77
Kylie,243,77,90,78,82,87,82,75,76,84,79
Laura,228,76,82,90,78,88,86,81,83,75,84
Layla,227,65,71,71,72,72,70,84,82,68,82
Lucas,205,84,85,69,69,76,81,74,78,62,85
Margaret,220,77,75,85,73,78,69,61,70,72,62
Megan,210,81,71,80,75,81,61,62,79,69,75
Mikayla,246,68,63,67,62,67,60,72,67,62,57
Natalia,206,80,74,82,83,72,63,73,73,65,67
Noah,234,75,72,75,71,74,63,50,64,54,54
Olivia,245,83,74,70,85,67,74,79,69,76,72
Raymond,208,72,56,70,66,73,63,69,59,53,75
Ricardo,247,78,89,90,77,79,85,83,83,77,86
Stephen,239,81,87,83,78,85,89,77,77,77,83
Summer,241,77,66,70,70,65,81,77,61,61,73
Sydney,226,78,79,80,85,85,69,75,66,66,85
Tanner,221,63,62,85,63,80,74,69,64,84,65
Tiffany,250,84,77,85,71,72,74,72,80,61,79
Victor,201,70,85,62,60,81,68,79,70,72,61
Zoey,235,89,82,78,90,79,90,76,79,76,81
