Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Alana,346,92,91,82,86,100,97,89,81,94,83
Alejandro,349,71,79,74,85,82,68,64,75,78,68
Alexa,308,75,65,61,69,82,81,61,69,60,79
Anna,326,89,87,81,76,83,81,89,81,89,80
Avery,348,79,78,63,84,70,70,68,78,67,66
Blake,339,81,73,79,63,64,63,77,73,77,69
Brady,331,80,75,79,74,77,70,69,79,78,85
Brooke,318,62,65,76,66,67,85,81,79,67,66
Caitlin,304,87,76,84,90,82,86,79,89,84,75
Cesar,332,68,69,76,72,79,78,63,78,78,66
Charles,327,71,85,75,78,65,70,80,70,70,68
Chase,333,64,71,77,68,74,60,85,69,68,62
Claire,337,82,87,83,89,82,75,78,83,75,87
Cole,317,81,94,80,85,95,95,94,97,91,85
Colin,311,66,79,61,75,79,62,80,63,78,72
Daisy,316,66,82,80,63,61,72,64,66,83,78
Derek,323,60,85,72,77,66,77,63,65,78,85
Eli,309,77,84,75,75,85,88,77,85,90,80
Elias,303,75,69,76,79,75,68,68,60,64,70
Elijah,341,90,83,92,80,91,89,80,99,91,93
Ella,306,91,88,99,100,84,80,88,97,85,89
Emmanuel,335,75,76,82,77,75,78,81,82,79,78
Faith,338,78,86,79,82,77,79,82,85,84,88
Gage,329,81,88,91,94,80,87,88,95,82,90
Hannah,330,80,75,80,86,89,79,90,83,90,85
Hope,340,65,72,72,66,59,64,56,52,68,53
Ian,319,84,80,75,88,79,80,82,82,77,75
Isabelle,322,82,87,80,88,93,89,87,89,96,96
Ivan,314,82,98,88,99,92,89,96,85,85,83
Jesus,342,65,56,52,61,69,71,55,74,67,62
Jonathan,345,75,83,68,62,85,62,63,78,73,63
Leah,301,85,86,89,84,85,89,88,82,79,87
Levi,313,84,85,79,88,86,78,81,84,88,79
Lily,328,77,63,71,81,77,68,81,73,60,63
Mackenzie,315,76,71,81,83,81,68,61,72,63,81
Madelyn,334,66,85,84,79,69,83,61,61,63,71
Malachi,320,60,68,70,76,71,84,76,62,80,76
Manuel,350,100,90,88,94,95,98,82,93,83,94
Maxwell,343,62,81,65,74,67,79,71,60,70,65
Nicholas,307,89,84,86,87,88,85,94,97,91,90
Paige,305,83,85,80,83,83,96,91,88,95,85
Patrick,324,83,74,61,65,85,78,85,75,60,60
Peyton,310,85,75,82,88,84,85,88,79,90,81
Rebecca,312,83,78,78,86,84,88,83,87,79,77
Riley,347,72,68,64,63,60,72,76,80,63,82
Samantha,344,92,98,100,99,96,90,85,85,87,80
Seth,336,83,66,68,63,70,84,69,71,61,73
Skylar,302,63,73,77,76,61,71,73,82,68,73
Victoria,325,84,90,79,90,84,80,76,77,83,82
Zachary,321,79,83,89,82,85,85,75,81,80,78
