Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Alexia,383,87,89,78,75,79,89,80,77,82,89
Amber,400,50,55,69,56,54,62,63,66,54,55
Ana,395,61,50,57,74,72,62,74,51,51,58
Ashlyn,381,80,84,80,77,83,65,60,64,61,71
Ava,376,85,87,75,78,86,84,88,85,85,77
Bradley,373,81,71,83,66,83,80,68,71,80,79
Brendan,392,90,90,88,89,89,75,86,86,87,82
Brianna,385,81,84,79,83,80,82,88,80,89,80
Caroline,354,85,76,61,72,63,62,83,61,81,60
Catherine,389,68,62,85,68,80,60,83,72,60,68
Collin,372,85,75,84,86,77,85,88,89,77,78
Cooper,374,75,85,71,79,69,81,77,83,72,75
Danielle,396,61,50,70,72,51,59,58,52,72,63
Delaney,360,94,92,81,100,91,95,94,91,91,98
Eva,388,75,83,74,76,84,71,61,79,76,71
Gabriella,359,72,66,64,72,63,62,64,72,69,68
Garrett,357,82,74,69,77,61,66,63,71,65,64
Gavin,380,64,84,70,63,69,61,66,84,61,77
Gregory,382,87,80,89,76,83,90,86,90,85,89
Hector,361,77,84,78,90,77,78,85,83,81,86
Jacqueline,394,85,80,65,68,78,67,78,80,83,79
Jaden,384,78,77,80,81,79,88,81,87,81,83
Jared,399,86,81,82,75,80,85,83,84,84,86
Jasmine,370,82,83,100,85,100,96,99,92,84,98
John,364,76,89,80,79,88,87,83,86,84,88
Jordan,387,61,73,70,81,82,81,81,71,85,83
Jorge,390,81,90,78,80,83,81,87,88,75,85
Joshua,371,87,87,88,76,89,81,78,81,78,88
Kaden,397,66,62,83,61,66,64,80,82,65,67
Kaitlyn,369,63,77,71,68,78,69,60,75,76,85
Kathryn,367,60,69,61,72,78,72,85,60,66,77
Kylee,362,64,85,84,61,65,63,60,85,63,61
Landon,365,80,78,88,84,77,76,76,80,83,80
Lucy,377,87,78,77,80,89,75,84,79,79,76
Makayla,355,92,85,91,93,81,81,91,83,90,93
Makenzie,356,77,90,84,82,80,90,82,85,89,79
Maria,352,68,80,63,77,61,67,66,75,76,64
Mario,375,78,88,87,80,82,85,87,90,77,76
Marissa,393,79,70,70,85,83,84,63,75,67,61
Melanie,391,82,82,98,85,92,85,87,90,92,99
Naomi,378,76,89,87,81,83,89,85,81,90,84
Nolan,379,90,89,90,98,92,89,88,95,86,100
Oscar,351,78,80,82,60,69,72,68,73,80,65
Owen,358,53,60,64,56,51,71,75,71,66,66
Paul,386,77,60,63,78,85,61,71,63,83,74
Peter,398,81,82,85,67,70,80,74,79,62,66
Sadie,353,70,64,59,53,57,54,50,53,74,55
Serenity,366,83,89,84,84,79,79,77,77,78,82
Taylor,363,85,79,90,85,81,84,80,78,89,79
William,368,90,76,90,75,83,82,81,79,76,86
